problem,num_obj,iteration,reference_point,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE,iRVEAUPCF,iNSGAIIIUPCF,iRVEA_UPCF,iNSGAIII_UPCF
DTLZ2,5,5,"[2.22e-16, 2.22e-16, 0.196, 0.851, 0.414]",0.8540090631974422,0.9384022028971979,28.25120609719848,31.372598008026774,21.253041030394268,49.99422539148218,0.7027131977822809,0.6759755758810193,55,84,34184,50052,,,0.0009539909881754769,0.0010994674648189284
DTLZ2,5,6,"[2.22e-16, 2.22e-16, 0.195, 0.851, 0.414]",0.8623128274451058,0.9382121428407836,25.979113016789128,31.367902219504717,14.974082282491933,49.89927519582231,0.6979434834112758,0.6758427396926002,60,84,43384,50052,,,0.0012854444632364097,0.0011303435074425936
DTLZ2,5,7,"[2.22e-16, 2.22e-16, 0.195, 0.851, 0.414]",0.8582612185160077,0.9383438265374928,26.57084981215582,31.38603580289944,20.48257850015855,49.89927519582231,0.6945744424746031,0.6758427396926002,70,84,50008,50052,,,0.0013704866839122968,0.0011272926687529862
DTLZ2,5,8,"[2.22e-16, 2.22e-16, 0.195, 0.85, 0.414]",0.8582875128318523,0.9383322081188639,26.50203380784441,31.386035802899446,20.491660625225812,49.880116132526005,0.6946261623815131,0.6759073848629238,70,84,50008,50052,,,0.0013704866839122968,0.0011272926687529862
DTLZ3,5,1,"[9.66e-48, 0.0, 0.0, 12.2, 73.1]",0.0,0.545431539128209,0.0,32.42147576553045,26.471868773581047,28.791190848911448,46.16264965288361,9.000479002447813,0,86,7984,17286,,,0.0,0.0014868852418931408
DTLZ3,5,2,"[2.91e-49, 0.0, 0.0, 4.22, 10.6]",0.0,0.7556197193007228,0.0,33.98411169945404,21.017187049105672,21.889919417558023,29.73447035701669,5.4332155758593474,0,86,13018,25886,,,0.0,0.002835023077917225
DTLZ3,5,3,"[5.96e-50, 0.0, 0.0, 6.98, 1.16]",0.6180657270216321,0.3367211717844131,5.04007430143451,33.49847453608743,16.562335290780098,4.6001368280693775,17.320148298304307,1.7708330230305462,0,85,19646,34486,,,0.0,0.0001756719605679543
DTLZ3,5,4,"[5.96e-50, 0.0, 0.641, 3.21, 0.641]",0.0,0.9260258927769948,0.0,32.651471049511755,10.21642922561624,6.934722209712209,12.032213228551713,3.191142910609761,0,84,25712,43086,,,0.0,0.0009369855811704422
DTLZ3,5,5,"[2.22e-16, 2.22e-16, 2.22e-16, 2.22e-16, 3.07]",0.0,0.26365359781669573,0.0,32.448802939844214,6.66202498137679,5.45649907316728,7.049870327745113,0.6075978706227538,0,86,26398,50052,,,0.0,0.0001354132590345581
DTLZ3,5,6,"[2.22e-16, 2.22e-16, 2.22e-16, 2.22e-16, 1.95]",0.6365254280570818,0.8592015531937651,3.3437112505022264,32.44950789952757,5.050263785735813,8.695158293946005,7.0513061457518615,0.607597870622754,1,86,26998,50052,,,0.0,0.00011099988641553755
DTLZ3,5,7,"[2.22e-16, 2.22e-16, 2.22e-16, 2.22e-16, 1.01]",0.468333242350355,0.9655176914032386,2.8465250095220735,32.142710732659495,7.379723829601488,17.30506135740773,6.666229138972904,0.6075978706227542,1,86,27890,50052,,,0.0,0.0001229109803970086
