,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE,iRVEAUPCF,iNSGAIIIUPCF,iRVEA_UPCF,iNSGAIII_UPCF
16,0.473112569089458,0.371499554621142,5.45061496286154,8.00990107462187,24.1336644264092,17.7029513936062,44.5231631694943,38.3829363820349,3.9,11,2041.8,2412,,,0.279667758775848,0.172569262474431
17,0.369934065086103,0.519923602554336,2.81644314700019,4.74302280679589,20.9225801767934,19.3137153908039,34.6298588816924,31.3421438839201,2.9,8.7,3106.2,3612,,,0.235851264310005,0.092825928001858
18,0.409668973559758,0.375109210031419,2.58837137309079,4.02073588510902,18.173369574329,13.7978987951227,27.4954271808379,21.3848379568481,4.2,7.8,4303.6,4812,,,0.293122084314674,0.135544115853869
19,0.493113006844688,0.483381397948031,2.64082136494881,4.28490058318838,16.1339503199451,13.2224429282867,20.4327675744002,19.7994031671823,4.3,8.1,5598.4,6012,,,0.181237704118192,0.067185297678951
20,0.248063771858254,0.338289307436487,1.6593437899738,3.40462704943502,11.0907056501609,9.33035514144684,14.9786739854654,11.4373368251865,3.6,8.3,6705,7212,,,0,0.027749368008317
21,0.264186892481442,0.315847095800919,1.93142897617905,3.74953168863688,10.037767829604,9.00293871086207,11.1983462438233,10.6472521024341,4.7,8.5,8264.6,8412,,,0.006461374608747,0.050062266795426
22,0.292255531044645,0.311930806082557,2.5370690238525,3.80817141762104,8.33914667463757,7.06105761005973,8.31026429693404,6.85926043558659,4.7,7.7,9864.6,9612,,,0.181652165761347,0.031380389165647
23,0.469663666772611,0.400248311430749,3.85198385375024,4.49443353075596,7.88105996627805,6.99436158724693,6.11771155555561,5.63916638161819,6.5,8.2,11464.6,10812,,,0.250896892143416,0.234935458348301
24,0.661375680385635,0.424777782642194,2.78439554117785,3.26768825466809,3.74523054276767,3.43615315048529,0.96632947793713,0.965004541527942,3.6,7.8,882.6,2412,,,0,1.02530749819721E-22
25,0.753267427099983,0.561358576977286,3.37365021846374,3.53084505503056,4.27184477865537,3.98593105166083,0.929941427497997,0.947905162237136,3.8,6.3,1305.6,3612,,,3.9475258085675E-06,0.015750745520831
26,0.704442628482832,0.462779863826783,5.03333885811512,5.60636647634504,4.93006215479712,5.04376781810728,0.80313488752,0.786976154041747,4.3,7.3,1810.4,4812,,,0.008705992135053,0.017171091619241
27,0.71581858664716,0.497171776816822,3.97912817735861,4.86670389460976,4.35089040411909,4.64423773285721,0.860612254096899,0.835506765219867,4.3,8.1,2341.2,6012,,,0.00057329590583,0.026885621642957
28,0.545362485038308,0.375755676286768,5.05367437316324,5.83897304316788,5.03779938668103,5.73537600001291,0.804860234404254,0.779302247010938,5.1,10.6,2874.6,7212,,,0.009077209497781,0.041647358248145
29,0.544546007372533,0.507563597929615,4.96903165219445,5.87116903187628,5.06984633725226,6.24621488996421,0.805075257465009,0.770059217125873,4.5,9.3,3554.6,8412,,,0.001467830632075,0.041873118587119
30,0.535538525918424,0.455274530677611,4.97235413467215,5.85019262643249,4.39645406708192,6.18160660819761,0.804857119012559,0.770180523637584,4.4,9.2,4234.6,9612,,,0.001229178130805,0.021794269082533
31,0.544453939214304,0.497635075150009,4.97118189559646,5.87032939597322,4.74338320899369,5.90142313454966,0.804741458386437,0.773417355086482,4.4,8.9,4914.6,10812,,,0.003132284512615,0.028754778723496
32,0.664973154076547,0.587032670279753,7.6634956125151,8.052539340327,5.09045363535186,8.15578850636932,0.747033280475548,0.71940955085789,6.8,11.4,2309.2,2412,,,0.019744529504258,0.023246072140152
33,0.835796394333026,0.560261613924416,8.12842014415276,7.47463749592449,6.60752190430629,8.13219284440266,0.773708308179527,0.751194242878134,4.6,11.4,3214.8,3612,,,0.008184349341146,0.030704918701
34,0.871713986901522,0.521627028526554,7.50437869367748,6.08249931880365,7.81188030182522,7.49411418591072,0.804074047126311,0.756082068795608,1.2,11,4374.2,4812,,,2.16226373349255E-06,0.022063003331921
35,0.931646148260322,0.557400786170389,7.4702731241286,5.90276728438038,7.15305728407751,7.81731020874443,0.798962563614177,0.754464293808065,1,11.5,5702.8,6012,,,0,0.026516534877158
36,0.738387177540916,0.447471816923204,7.90749543359455,7.00067113207304,7.69065322681132,8.89194210977079,0.746476073118795,0.742881301913357,4,10.9,6742.6,7212,,,0.013476601794482,0.043141029728839
37,0.774631633849811,0.441801365171096,7.90870978130711,6.61461597326331,6.46954693556198,8.65593711814312,0.743720851660761,0.744134177961238,3.9,11.4,7862.6,8412,,,0.010501675113133,0.040979626044198
38,0.746846793109946,0.47574407000415,7.86788172042187,7.54548683690158,6.01904819361615,9.38880892432014,0.746705430790707,0.740330587488005,4.1,10.2,9018.2,9612,,,0.014113655342637,0.047277636341526
39,0.727271059285209,0.419233007874921,7.86561110303646,6.40548270711211,6.83282447779831,8.95667147364612,0.749557702958124,0.741693679118326,4.1,10.7,10178.2,10812,,,0.007934286308833,0.037063849127243
40,0.46129379926141,0.28848626520721,12.9960505081778,12.883074083219,4.52366267822052,5.00037421176379,2.92415643172643,3.19577119898004,4.4,7.2,2085.6,2412,,,0.124635297932777,0.062512218939949
41,0.401452199557709,0.342545546596185,11.2243935169595,14.0910878782801,4.05764184752825,3.83137651068883,2.21799670737528,1.92900559943111,5.1,8.2,3316.6,3612,,,0.095318516524824,0.051252433084655
42,0.540099382115233,0.303258672677621,14.4603391861936,14.7380746703454,3.31476116575076,3.68615281451648,1.35171881095257,1.26545869620651,4.3,8.8,4682.8,4812,,,0.026337594896558,0.011643732832138
43,0.483338609976673,0.258395244763582,16.0336716647237,16.921833363585,3.33300944839726,3.1970647932022,1.1166632551366,0.884634790594197,2.7,9.9,6145.6,6012,,,1.37342859234766E-05,0.00054650137551
