problem,num_obj,iteration,reference_point,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE
DTLZ2,3,5,"[0.183, 0.183, 0.954]",0.6236878757750002,0.8727034290349093,7.582056134019055,7.623612668622761,4.555354459173689,8.559211940405035,0.8182365401590729,0.6611279022624573,4,12,3758,7212
DTLZ2,3,6,"[0.188, 0.188, 0.958]",0.6733653993646916,0.8731016015953158,7.505767576684635,7.9039711775173735,6.123666492321373,5.027172269436308,0.7281304554015787,0.6617535508413955,6,11,4326,8412
DTLZ2,3,7,"[0.191, 0.191, 0.961]",0.785535969305611,0.8893164972910819,7.819659939807979,7.9676319162218,7.357273413339245,4.521805961754509,0.6933618876540988,0.6591592025762478,13,12,5802,9612
DTLZ2,3,8,"[0.191, 0.191, 0.961]",0.7870789964403243,0.8739654102690683,7.820833638506312,7.94197676644467,6.795450272957152,8.852268739895287,0.6834875591443736,0.6611099301061049,15,10,7402,10812
DTLZ3,3,1,"[21.2, 0.0, 52.9]",0.8429527151257814,0.5170073565523743,7.50212473189027,6.1404488324028526,37.88821684327223,18.65053502431298,58.56433064393889,63.64257157654026,4,9,1934,2412
DTLZ3,3,2,"[4e-32, 3.77, 9.43]",0.4373100961468463,0.25917894460889057,3.05519634717389,1.6497976507558043,25.700013269571826,27.69774519626055,44.912038846316676,52.12939791950731,11,6,2956,3612
DTLZ3,3,3,"[1.26e-32, 0.386, 2.32]",0.4071350512938699,1.0,2.2940387404544222,1.0240842274824853,26.997371836288874,24.65949344342254,39.40400657495647,46.608666601076756,5,0,4152,4812
DTLZ3,3,4,"[0.172, 0.0, 1.03]",0.3083198179058153,0.2467440792854896,2.184323506993138,1.4844833385881089,21.125583975339694,19.092678070356733,33.28796076446298,38.94171103851079,10,5,5486,6012
DTLZ3,3,5,"[0.185, 0.185, 0.964]",0.4352764527064803,0.3394282312880635,2.803366669153649,1.0842268421797114,19.977558445255646,22.591029379119718,25.1940042779654,34.97393816126198,7,3,6842,7212
DTLZ3,3,6,"[0.191, 0.191, 0.969]",0.9579476539223735,0.2112301479625126,1.1315366030256175,2.398576308958579,17.31174619956414,9.72306499570661,23.71098626532158,19.489832308633698,1,12,8442,8412
DTLZ3,3,7,"[0.192, 0.192, 0.97]",0.9574231631668684,0.20062904621503969,1.5937778414942765,1.9232140120334618,13.908967764209208,11.7997638213889,17.54420448144865,15.826050668980917,1,12,10042,9612
DTLZ3,3,8,"[0.193, 0.193, 0.971]",0.2744456867460776,0.40810623702897336,2.126808295951153,1.7215647553469648,11.503340781997913,12.51748332333454,13.334710963142127,14.783121211495896,11,3,11642,10812
DTLZ4,3,1,"[5.8e-17, 1.0, 0.0]",0.9998372812060498,0.8018286906938359,6.52951465558247,8.009160615034912,3.1489976226442558,5.34611094713463,0.6629614080533384,0.6101056229096491,1,12,780,2412
DTLZ4,3,2,"[2.48e-19, 0.801, 0.601]",0.5,0.09090909090909173,2.187450931267901,5.910224892536839,3.5812039671616693,4.401723605876462,0.8825634354606512,0.8797700716764418,2,9,984,3612
DTLZ4,3,3,"[0.69, 0.69, 0.23]",0.6550292905921085,0.5789815612159537,6.690464678074126,7.8245147775857395,4.416117483040978,8.281348393723773,0.7593304924176383,0.7398227026945879,2,12,1384,4812
DTLZ4,3,4,"[0.444, 0.889, 0.222]",0.74094401384358,0.7179334248148803,7.492518891723548,8.451986891399008,3.9245330284439994,7.182978363580066,0.7523612688253891,0.728242914351315,3,11,1784,6012
DTLZ4,3,5,"[0.677, 0.677, 0.218]",0.5038052055737957,0.6247972408253593,6.54789106075438,8.010786493954518,4.113896408337558,7.752040659203053,0.7580144579821331,0.733488071566249,4,11,2184,7212
DTLZ4,3,6,"[0.677, 0.677, 0.218]",0.5014141606114948,0.6336430835731998,6.574071637723345,7.592900788977674,4.442916959666421,7.698128668159559,0.7579618888873094,0.7340838946054182,4,11,2584,8412
DTLZ4,3,7,"[0.677, 0.677, 0.218]",0.5040493029753178,0.667530759745303,6.550914198495334,7.645186906198401,4.114625560363564,9.513216031971009,0.7579590677719148,0.7224295759382343,4,11,2984,9612
